cue,target,cond,occurence
bier,tee,cat+ass,1
stiefel,tasche,cat+ass,1
fisch,fisch,iden,1
fussball,traube,none,1
milch,kaffee,cat+ass,1
puppe,suppe,phon,1
knopf,knopf,iden,1
kuh,schuh,phon,1
hubschrauber,rakete,cat+ass,1
pfanne,schwein,none,1
tisch,fisch,phon,2
zelt,wein,none,1
hut,kaffee,none,2
suppe,suppe,iden,2
knopf,knopf,iden,2
kuh,schuh,phon,2
rakete,rakete,iden,2
anzug,hose,cat+ass,1
hund,fisch,cat+ass,3
wal,wal,iden,1
kaffee,kaffee,iden,3
puppe,suppe,phon,3
topf,knopf,phon,3
huhn,strassenbahn,none,1
fussball,traube,none,2
hose,hose,iden,2
reis,reis,iden,1
pedal,wal,phon,2
schnee,kaffee,phon,4
hammer,suppe,none,4
tapete,rakete,phon,3
schwan,strassenbahn,phon,2
affe,flugzeug,none,1
schwert,pferd,phon,1
schiff,lauch,none,1
saft,wein,cat+ass,2
tasche,tasche,iden,2
hammer,suppe,none,5
baer,dachs,cat+ass,1
schwan,strassenbahn,phon,3
schlagzeug,flugzeug,phon,2
maus,tee,none,2
topf,knopf,phon,4
bein,wein,phon,3
traube,traube,iden,3
rose,hose,phon,3
baer,dachs,cat+ass,2
lauch,lauch,iden,2
ballon,flugzeug,cat+ass,3
hubschrauber,rakete,cat+ass,4
schwert,pferd,phon,2
otter,wal,cat+ass,3
brot,fisch,none,4
pfanne,schwein,none,2
strassenbahn,strassenbahn,iden,4
kohl,lauch,cat+ass,3
horn,reis,none,2
elefant,rakete,none,5
hirsch,pferd,cat+ass,3
wal,wal,iden,4
tisch,fisch,phon,5
affe,flugzeug,none,4
löffel,tasche,none,3
ziege,schwein,cat+ass,3
schraube,traube,phon,4
wachs,dachs,phon,3
mehl,reis,cat+ass,3
gurke,wal,none,5
hund,fisch,cat+ass,6
bein,wein,phon,4
rose,hose,phon,4
nest,schuh,none,3
schraube,traube,phon,5
kamm,dachs,none,4
horn,reis,none,4
otter,wal,cat+ass,6
hirsch,pferd,cat+ass,4
gras,knopf,none,5
schwein,schwein,iden,4
schuh,schuh,iden,4
pelikan,kartoffel,none,1
strassenbahn,strassenbahn,iden,5
reis,reis,iden,5
flasche,tasche,phon,4
flugzeug,flugzeug,iden,5
hose,hose,iden,5
bauch,lauch,phon,4
dachs,dachs,iden,5
pantoffel,kartoffel,phon,2
zwiebel,suppe,cat+ass,6
eis,reis,phon,6
tasche,tasche,iden,5
ballon,flugzeug,cat+ass,6
hemd,knopf,cat+ass,6
zahn,pferd,none,5
kamm,dachs,none,6
schnitzel,kartoffel,cat+ass,3
kohl,lauch,cat+ass,5
huhn,strassenbahn,none,6
mehl,reis,cat+ass,7
ziege,schwein,cat+ass,5
fahrrad,hose,none,6
zwiebel,suppe,cat+ass,7
apfel,traube,cat+ass,6
pelikan,kartoffel,none,4
pferd,pferd,iden,6
wein,wein,iden,5
bus,strassenbahn,cat+ass,7
gurke,wal,none,7
schwein,schwein,iden,6
brot,fisch,none,7
traube,traube,iden,7
pantoffel,kartoffel,phon,5
pferd,pferd,iden,7
tee,tee,iden,3
kleid,schuh,cat+ass,5
pedal,wal,phon,8
kaffee,kaffee,iden,5
rakete,rakete,iden,6
bus,strassenbahn,cat+ass,8
schnitzel,kartoffel,cat+ass,6
schlagzeug,flugzeug,phon,7
klee,tee,phon,4
nest,schuh,none,6
wachs,dachs,phon,7
milch,kaffee,cat+ass,6
bauch,lauch,phon,6
flasche,tasche,phon,6
kartoffel,kartoffel,iden,7
saft,wein,cat+ass,6
tee,tee,iden,5
elefant,rakete,none,7
schornstein,schwein,phon,7
apfel,traube,cat+ass,8
hemd,knopf,cat+ass,7
lauch,lauch,iden,7
stiefel,tasche,cat+ass,7
wein,wein,iden,7
maus,tee,none,6
hut,kaffee,none,7
dachs,dachs,iden,8
fahrrad,hose,none,7
gras,knopf,none,8
flugzeug,flugzeug,iden,8
fisch,fisch,iden,8
zelt,wein,none,8
klee,tee,phon,7
schornstein,schwein,phon,8
kleid,schuh,cat+ass,7
tapete,rakete,phon,8
suppe,suppe,iden,8
löffel,tasche,none,8
schiff,lauch,none,8
schnee,kaffee,phon,8
anzug,hose,cat+ass,8
kartoffel,kartoffel,iden,8
bier,tee,cat+ass,8
schuh,schuh,iden,8
zahn,pferd,none,8
eis,reis,phon,8
