german,english
kaffee,coffee
lauch,leek
affe,monkey
pelikan,pelican
hemd,shirt
zahn,tooth
klee,clover
zelt,tent
flasche,bottle
puppe,doll
hund,dog
schlagzeug,drums
schnitzel,schnitzel
schwert,sword
strassenbahn,tram
knopf,button
kamm,comb
saft,juice
mehl,flour
schlagzeug,drums
bauch,belly
pferd,horse
huhn,chicken
topf,head
dachs,badger
stiefel,boot
bier,beer
kartoffel,potato
hubschrauber,helicopter
schwert,sword
hose,pants
knopf,button
ziege,goat
reis,rice
kamm,comb
ballon,balloon
hubschrauber,helicopter
schwert,sword
bein,leg
maus,mouse
schornstein,chimney
bauch,belly
schnitzel,schnitzel
flugzeug,airplane
hubschrauber,helicopter
schwert,sword
anzug,suit
gurke,cucumber
suppe,soup
l�ffel         t,spoon
pantoffel,slipper
schwan,pig
hubschrauber,helicopter
kleid,dress
schornstein,chimney
saft,juice
anzug,suit
gras,grass
hund,dog
bus,bus
tapete,wallpaper
ballon,balloon
pfanne,pan
kartoffel,potato
bein,leg
kuh,cow
gurke,cucumber
strassenbahn,tram
tapete,wallpaper
schlagzeug,drums
pferd,horse
tisch,table
schornstein,chimney
baer,bear
pedal,pedal
flasche,bottle
bier,beer
puppe,doll
kuh,cow
fussball,football
pfanne,pan
milch,milk
otter,otter
tasche,bag
schiff,ship
maus,mouse
kleid,dress
affe,monkey
pferd,horse
elefant,elephant
pedal,pedal
topf,pot
lauch,leek
zwiebel,onion
strassenbahn,tram
traube,grape
bein,leg
tapete,wallpaper
schwein,pig
pedal,pedal
schiff,ship
puppe,doll
horn,horn
apfel,apple
wachs,wax
tisch,table
anzug,suit
hemd,shirt
schiff,ship
zwiebel,onion
eis,ice
kartoffel,potato
hut,hat
brot,bread
hirsch,deer
fahrrad,bicycle
kohl,cabbage
zwiebel,onion
dachs,badger
mehl,flour
klee,clover
fisch,fish
bein,leg
huhn,chicken
kohl,cabbage
hammer,hammer
kamm,comb
rakete,rocket
tee,tea
fussball,football
saft,juice
schuh,shoe
schnee,snow
suppe,soup
hemd,shirt
elefant,elephant
bus,bus
schraube,screw
tisch,table
schuh,shoe
zelt,tent
hose,pants
topf,pot
elefant,elephant
affe,monkey
puppe,doll
brot,bread
nest,nest
wein,wine
rose,rose
stiefel,boot
schnitzel,schnitzel
fussball,football
baer,bear
ziege,goat
kuh,cow
flugzeug,airplane
rose,rose
l�ffel         t,spoon
pantoffel,slipper
hund,dog
dachs,badger
schiff,ship
schuh,shoe
mehl,flour
rose,rose
flasche,bottle
traube,grape
fisch,fish
hirsch,deer
kohl,cow
wachs,wax
pantoffel,slipper
fahrrad,bicycle
kaffee,coffee
pfanne,pan
reis,rice
hammer,hammer
bus,bus
hemd,shirt
tasche,table
tee,tea
schnee,snow
ziege,goat
hose,pants
lauch,leek
zelt,tent
zahn,tooth
flugzeug,airplane
maus,mouse
kaffee,coffee
schwein,pig
baer,bear
nest,nest
schwan,pig
gras,grass
zahn,tooth
klee,clover
hut,hat
pfanne,pan
mehl,flour
kleid,dress
elefant,elephant
gras,grass
schwan,pig
pelikan,pelican
wal,whale
fahrrad,bicycle
ballon,balloon
schraube,screw
nest,nest
hirsch,deer
l�ffel         t,spoon
hut,hat
otter,otter
fahrrad,bicycle
eis,ice
hammer,hammer
nest,nest
bier,beer
apfel,apple
wachs,wax
wal,whale
milch,milk
wein,wine
suppe,soup
horn,horn
schwan,pig
hund,dog
wachs,wax
pedal,pedal
kaffee,coffee
maus,mouse
pantoffel,slipper
affe,monkey
tasche,table
brot,bread
huhn,chicken
wal,whale
wein,wine
apfel,apple
tee,tea
lauch,leek
flasche,bottle
fisch,fish
bus,bus
gurke,cucumber
horn,horn
schraube,screw
tee,tea
kohl,cabbage
stiefel,boot
fisch,fish
strassenbahn,tram
gurke,cucumber
reis,rice
suppe,soup
klee,clover
hirsch,deer
dachs,badger
schnitzel,schnitzel
rakete,rocket
bauch,belly
horn,horn
hammer,hammer
rose,rose
fussball,football
kamm,comb
wal,whale
tapete,wallpaper
bauch,belly
reis,rice
knopf,button
anzug,suit
brot,bread
l�ffel         t,spoon
traube,grape
rakete,rocket
schornstein,chimney
eis,ice
knopf,button
hose,pants
tisch,table
tasche,bag
milch,milk
zelt,tent
pelikan,pelican
rakete,rocket
schuh,shoe
otter,otter
schwein,pig
traube,grape
schnee,snow
saft,juice
pelikan,pelican
topf,pot
kleid,dress
ballon,balloon
schwein,pig
apfel,apple
milch,milk
wein,wine
pferd,horse
otter,otter
kartoffel,potato
kuh,cow
ziege,goat
baer,bear
hut,hat
flugzeug,airplane
eis,ice
stiefel,boot
gras,grass
zahn,tooth
schraube,screw
huhn,chicken
schnee,snow
schlagzeug,airplane
zwiebel,onion
bier,beer
